Id,SalePrice
2658,158591.04147134622
2718,215736.38387492977
2414,184069.4639900534
1989,129988.66550791005
625,178010.57013920537
333,92992.31436348718
1327,121307.4485266553
858,159381.28485332578
95,206882.74622804835
1568,160333.34081708785
2482,172255.15268946902
1364,134615.00020036445
2584,168231.6005023331
818,262576.96891822194
2673,171661.03879471932
2089,129619.10347226317
1297,152638.8914687817
790,122028.23240889881
2616,197244.0405570661
720,191203.08419632982
222,136931.90912726143
557,120922.35810092057
1148,212411.23139638104
2766,150960.86680170568
534,211211.33191464635
1452,117828.00744439493
630,138563.4821612187
2648,135517.1138963219
125,142400.28281025097
1904,24827.828920985572
1670,110200.32689832951
756,100402.40708698094
717,259531.5991763299
1032,162708.7402368
852,223505.78285145838
1731,181580.50307349747
2639,134248.1174929959
2071,76661.73760973912
1267,105443.657220289
1851,210709.01646453814
567,159670.92998493646
2439,211609.48860629782
1898,168038.30960677523
647,153522.82697906217
2256,212228.48086842566
979,110765.46461849948
1444,215122.8147026176
2485,117880.74997268397
157,124544.41389536478
88,121538.74103862862
2003,106795.98326550153
186,196584.60419370202
1425,264292.2601172797
2695,133621.83621673493
738,97497.35141130071
395,157805.6307698395
1353,166108.81315832073
1878,155068.63780093796
390,176438.46727980487
1456,231285.238654785
1103,329407.24321272055
1387,125611.8542980689
2070,145610.09396202696
1199,192991.4722677391
2479,174374.21561367717
501,327023.97013191605
2362,80943.31501339885
1718,237273.68039594495
2188,58440.223356019065
1483,153764.64786291332
2557,72690.6047706739
437,327456.3116877335
2224,201480.32347633442
1628,169647.72366893315
397,128032.3345570904
587,218470.45122512765
2182,495463.6753447263
971,163210.66142451338
2611,156196.3889334469
1887,82997.95651618944
2399,322460.8782989732
2148,217483.90791972485
304,132402.75645324204
1997,127261.45502383423
2817,112196.95517843583
1431,179866.6991083114
427,359028.1699070066
263,125781.34570476835
598,168824.041426584
2895,242120.461259392
687,172135.66565949377
1822,129833.91345516448
2191,110115.99424404817
179,144489.60854660044
1009,232690.5544318633
2010,114491.69332788515
1991,148462.6813764845
1411,161369.63571050618
1721,279268.0429610123
1144,191344.96998084654
593,215424.10387109488
575,288091.9185763781
1249,182299.26792700012
1604,119941.52326217196
1064,411208.7935558365
1923,153020.23179136973
1988,97093.74665406684
2325,163840.72165356865
114,198022.56856310487
2700,218855.6977929149
217,157393.24279938242
343,177571.24570546875
386,238713.91705156997
2005,108734.73481940966
2908,141512.1764949024
1814,217591.28250283754
2446,418998.0398837862
208,140962.26084315297
1679,116650.66298384994
822,288596.16288128676
6,183168.78071765375
1781,336315.74497825064
2397,287082.17630485026
2340,303474.97888443747
1618,166761.1106450509
2843,143349.757110288
1061,343628.9686365356
2786,116533.70812289054
1935,129880.0659532996
1341,117531.36260097811
521,276876.9364076344
2136,125754.78894725068
996,185682.67060870657
227,138932.24961024447
135,161128.52460096672
1167,172329.83291944925
294,232851.3532309129
1776,215438.85582579277
540,200233.0653132164
1717,237273.68039594495
2303,110279.06196231517
116,203483.59427251254
127,132000.73525992397
1371,143635.3404005493
1014,189111.4233690251
1507,94366.68318947582
702,151738.14229422738
750,159159.41464112187
261,154221.82015049816
1559,59415.09940496023
577,274546.796968166
2812,208729.49928436635
2080,159923.56478823317
1368,133457.78382614398
2376,109171.41535074817
659,103953.87517139837
1235,120260.03577869441
332,79333.53557873543
1917,139528.01331105016
2094,240512.5481320413
1460,272757.11281286326
1471,202111.95797522838
1509,124231.59838525414
1922,134987.2914396405
433,417507.05992216035
460,282265.204896877
1116,254862.03303838024
1137,184804.88530330485
53,186896.90691434237
2354,243060.77341101834
1475,214826.57307978923
1761,483735.67993737094
842,148799.47789942625
2739,172707.51404535404
2509,168235.25427663157
1007,206261.11648570755
2610,181647.77945036103
1952,72391.16675330457
2719,214342.51224987186
2921,91863.78341401168
1966,139139.28635407353
292,122812.219029855
1204,201502.3470037286
1829,274199.4503322343
2419,187780.38126962475
391,167790.29203985777
798,119362.55884858634
481,186420.71319983952
193,214899.97814249626
555,118861.07506170814
899,63438.45979928365
2357,187312.81748139174
328,116027.80629963189
1356,117428.84623779586
1154,103937.48101802141
1730,172500.1096992936
2249,139607.99353826698
1119,251196.69756300258
2856,117761.58448006134
1394,145216.2109204809
2587,120223.24358076988
61,339488.0016429523
2661,213153.9052335084
2711,127910.27965067091
1147,183408.83933303985
757,146174.59703560517
2623,79333.69911694131
2378,152887.41776801605
1413,143536.76224540413
1722,256067.3141468721
1112,212272.18133879808
1623,189055.94308180438
1201,186175.316300126
1513,120527.87005713728
957,251496.00939046894
1171,253030.70510993886
1145,199381.5515601198
2726,243398.75012364954
703,158457.80181380233
760,66315.60348471947
1964,134845.64352124187
2512,183133.88467732884
159,170150.72744771786
1281,175163.64719355863
468,171812.46980784537
290,114043.53372200699
665,94083.39757502661
1463,272178.6960819626
1792,228323.20615572843
923,148239.85584036482
500,298884.7661303618
1408,165714.83096078085
331,60522.15702942753
170,123285.56660221418
2192,78829.41029351295
2571,296424.1928761996
2314,164087.11256482944
2647,87416.65530925151
422,360543.0481392349
2457,330194.71583028487
1838,207595.64451948347
2805,249122.839182664
1645,174296.81531910217
1711,306274.02846128977
2825,241506.70227205174
322,311546.8310372457
2103,267676.9847762048
342,126409.80570048779
600,92912.93767761256
488,196675.335211271
1725,323251.12166940665
2246,247611.76069139995
2847,171361.15540204928
806,240710.16745682762
530,231836.63801946444
963,192062.03592663334
2678,71790.50361227716
171,88220.39104920006
2401,368974.38720646146
805,215983.74280756543
2259,223694.17467158157
1748,170543.67163372107
1361,144082.87581778356
1677,133917.75139133984
1406,143923.08705205892
2322,219509.2585662494
688,176408.78149311824
143,142759.10409788333
804,198843.1454526412
1214,172344.53563928383
2828,160353.8911588024
1999,209572.2668515791
2467,201123.62471754584
2665,169110.50468119726
1538,316154.17045102105
398,103414.10971740197
2822,139720.1817766543
2157,153200.38238817555
1856,215155.699905476
1269,94742.30871197255
2570,118996.86956470784
2320,240062.77870849238
1517,126223.44866126133
2304,118144.96592550204
1312,95711.45534181537
2012,126385.25651819335
506,241697.96347425715
2865,190293.38532514565
2367,114393.37204778305
554,108671.32461536319
238,139779.05308123888
1954,104207.2503695825
2488,153486.81268123136
2291,95249.37626243816
1969,87317.09574460739
2725,167732.28881277857
1482,153764.64786291332
2763,201837.51719232724
503,265542.90220475727
1584,228342.94373150816
1531,157207.39857906147
2210,176426.29759835417
459,326973.62537121377
556,130827.66133698245
1347,154986.03875212185
1290,75279.48087296821
1388,102658.16083368869
1571,187281.5505145528
2754,210277.14209727634
765,128515.08692755215
2494,121194.6106927561
2870,188453.1484601057
7,254594.24560856103
1114,235732.274570158
2418,267939.9550935937
291,127139.32223987835
18,344195.86347540235
39,330479.93826571445
1001,292143.6371665028
2442,234166.8509511602
616,115401.1595846238
2680,47474.00868457885
1414,112084.07084309797
289,130771.31036191474
40,290974.76391024626
860,131809.8540978854
409,131032.6422459484
673,169917.59658531562
2427,186563.58610373258
2036,207769.81333450362
2564,145952.87788178015
642,191995.14072173988
1008,178713.08825090592
1908,146881.5813021435
2519,208374.07216434312
1369,93387.85420611026
2855,171515.53521988136
712,77787.37878444098
1943,106713.22012356459
1958,129576.45456979681
107,165794.33031693418
2295,197949.58926018572
704,103905.37921330633
676,119641.34600563257
259,184397.81438112727
93,302943.85257087136
106,233762.87288773112
2315,185231.39591431836
1050,107010.9654873186
1095,186715.95283231392
2709,135643.44706158334
758,169425.14923167444
1496,162331.04897341895
2370,133353.4859166021
2458,251922.26638172026
2733,129541.85891361334
161,274604.5541836209
726,164737.25496128923
845,219303.82992481833
947,243969.19532820504
2232,122089.28639995193
2563,144623.53750405903
2299,158705.8679917567
211,104796.58466324845
605,195442.26210391213
1478,212575.9319819278
2247,249495.6790722282
2274,207595.70431464587
2869,189873.43008635036
967,224539.90705603617
2656,113520.08110256805
667,239916.52020470245
1042,117418.15470036966
2023,164112.82004070975
2447,362542.6021253434
2055,118924.19084138374
2275,271208.8532689407
2204,172533.3023529629
1563,247846.5409722834
483,243121.49065753337
796,121435.31499191918
1526,148449.21970710868
2042,170895.39413783478
442,327594.6236081769
1693,314254.25563721335
1468,212424.06746477113
1430,184299.76751480543
2605,184626.63651343744
1529,176088.46973659386
335,134771.84076733232
1287,145029.4397741466
31,105604.07879516459
1785,256227.592999871
82,164350.41731043084
2620,131001.27966735023
252,209320.1039227888
721,53083.43068256753
2165,189436.2710975313
2316,170265.1887994162
775,127161.08941435664
1558,104151.81311209698
17,215993.58880203887
1022,235286.64122942887
925,114504.65405536573
438,306390.3318779893
1270,145745.61507625447
1272,119383.62976310773
215,128155.41944284542
266,219142.60546983563
2402,280879.83682067104
1250,126690.17448401396
1984,129475.67749482483
1279,150046.50518827923
377,258387.41853684757
1252,140678.28590673636
2156,252138.02954011867
499,318175.90335607866
1374,101531.56177151256
